disease,severity,tmean_c,rain_7d_mm,humidity_pct,risk_level
anthracnose,severe,25.85,9.17,77.4,HIGH
leaf_curl,mild,30.38,14.91,56.4,HIGH
mosaic,severe,29.25,6.93,56.0,CRITICAL
mites,severe,31.9,2.91,54.0,CRITICAL
anthracnose,moderate,34.74,63.07,72.4,HIGH
mosaic,moderate,31.28,15.57,51.0,CRITICAL
mosaic,severe,25.47,14.36,78.6,CRITICAL
mosaic,moderate,24.31,0.06,35.0,HIGH
anthracnose,moderate,25.17,8.75,69.8,MEDIUM
leaf_curl,severe,29.94,23.34,67.7,CRITICAL
anthracnose,mild,32.6,37.37,64.6,LOW
mosaic,moderate,28.26,24.02,57.9,CRITICAL
anthracnose,mild,21.17,54.63,77.3,MEDIUM
leaf_curl,mild,34.19,5.71,84.6,MEDIUM
anthracnose,moderate,28.83,7.4,81.0,HIGH
anthracnose,severe,23.74,94.71,89.1,CRITICAL
mites,mild,26.54,15.86,74.4,LOW
leaf_curl,mild,29.46,6.85,82.4,HIGH
mites,moderate,30.55,9.04,53.8,CRITICAL
mites,moderate,34.57,4.58,63.6,CRITICAL
mosaic,mild,32.18,1.33,47.7,HIGH
leaf_curl,severe,34.69,30.84,83.6,CRITICAL
mosaic,moderate,30.2,6.35,80.9,CRITICAL
mites,mild,26.43,14.36,59.7,MEDIUM
mosaic,severe,31.41,18.39,76.5,CRITICAL
leaf_curl,severe,31.77,22.77,62.3,CRITICAL
mosaic,mild,26.83,4.48,66.0,HIGH
leaf_curl,severe,23.91,13.21,77.6,CRITICAL
leaf_curl,moderate,21.24,4.88,78.9,HIGH
mosaic,severe,25.23,5.85,62.3,CRITICAL
anthracnose,moderate,29.09,132.72,86.1,CRITICAL
mites,severe,25.53,2.08,63.1,CRITICAL
mosaic,severe,29.25,18.78,51.4,CRITICAL
leaf_curl,moderate,28.98,3.95,75.7,CRITICAL
leaf_curl,mild,28.99,44.06,83.9,HIGH
anthracnose,moderate,32.56,18.86,75.0,LOW
mites,severe,29.67,10.4,36.2,CRITICAL
leaf_curl,severe,31.25,18.9,87.9,CRITICAL
leaf_curl,mild,24.61,50.28,59.7,MEDIUM
leaf_curl,severe,26.15,3.66,92.6,CRITICAL
anthracnose,moderate,27.29,4.61,78.7,MEDIUM
mosaic,severe,26.44,3.16,53.7,CRITICAL
anthracnose,severe,27.87,1.86,64.8,HIGH
mites,mild,34.57,12.28,61.1,MEDIUM
anthracnose,severe,29.92,41.76,88.5,CRITICAL
leaf_curl,severe,25.54,34.15,63.5,CRITICAL
mosaic,severe,25.54,24.31,55.7,CRITICAL
mosaic,moderate,29.99,14.73,44.6,CRITICAL
anthracnose,moderate,33.22,16.01,74.1,LOW
mites,severe,26.94,7.18,41.4,CRITICAL
leaf_curl,mild,21.75,8.04,98.7,MEDIUM
mosaic,severe,26.58,0.0,79.6,CRITICAL
anthracnose,moderate,23.99,48.71,70.3,HIGH
anthracnose,mild,28.38,15.2,80.3,MEDIUM
leaf_curl,moderate,29.53,15.47,92.1,CRITICAL
leaf_curl,mild,26.68,36.79,80.8,HIGH
mosaic,mild,29.59,21.33,65.5,MEDIUM
leaf_curl,mild,27.48,14.48,65.7,HIGH
mosaic,moderate,31.01,12.27,59.0,CRITICAL
mites,mild,31.1,17.39,51.8,MEDIUM
mites,severe,34.86,5.11,73.9,CRITICAL
leaf_curl,mild,33.68,17.84,71.5,HIGH
anthracnose,moderate,36.5,18.37,75.1,LOW
leaf_curl,mild,33.2,5.28,78.2,MEDIUM
anthracnose,moderate,27.49,8.18,90.6,HIGH
mosaic,mild,31.93,1.13,47.7,HIGH
leaf_curl,severe,26.77,25.02,83.3,CRITICAL
mosaic,mild,27.96,8.41,74.5,HIGH
anthracnose,moderate,22.13,26.27,74.9,HIGH
anthracnose,mild,24.85,80.9,76.4,HIGH
anthracnose,moderate,26.36,11.07,87.2,HIGH
mites,moderate,26.38,9.6,71.7,MEDIUM
anthracnose,mild,27.18,17.78,82.4,MEDIUM
mites,mild,30.7,11.48,43.8,MEDIUM
anthracnose,moderate,33.48,36.49,77.7,MEDIUM
mites,severe,33.17,9.08,74.0,CRITICAL
mosaic,mild,31.21,0.92,73.3,HIGH
mites,severe,28.21,10.12,73.2,CRITICAL
leaf_curl,severe,27.58,11.6,71.1,CRITICAL
anthracnose,severe,25.5,12.05,81.7,CRITICAL
mosaic,moderate,25.24,1.46,52.8,CRITICAL
anthracnose,severe,27.48,25.5,97.1,CRITICAL
leaf_curl,mild,24.53,10.6,77.3,HIGH
mosaic,severe,29.08,2.99,62.8,CRITICAL
mosaic,mild,27.99,3.13,57.1,HIGH
anthracnose,severe,23.71,3.37,69.9,MEDIUM
mites,severe,27.31,5.39,51.7,CRITICAL
mites,mild,28.37,6.82,33.3,MEDIUM
anthracnose,severe,34.21,9.67,74.4,LOW
leaf_curl,mild,29.12,41.08,82.1,HIGH
mites,mild,28.22,18.57,76.7,LOW
mosaic,mild,29.76,5.59,51.5,HIGH
anthracnose,moderate,34.67,1.92,84.6,MEDIUM
anthracnose,severe,27.4,16.54,71.5,HIGH
anthracnose,moderate,31.0,12.92,85.4,HIGH
anthracnose,mild,27.08,30.31,78.0,MEDIUM
anthracnose,severe,24.19,30.01,72.8,CRITICAL
anthracnose,moderate,28.53,35.94,71.8,HIGH
mosaic,severe,32.8,16.69,74.8,CRITICAL
leaf_curl,mild,31.25,8.7,81.0,HIGH
anthracnose,severe,25.76,55.94,76.4,CRITICAL
mites,mild,32.81,7.16,63.6,MEDIUM
mites,severe,36.94,9.75,43.8,CRITICAL
anthracnose,moderate,29.67,21.7,74.7,HIGH
mites,moderate,26.91,9.27,81.2,MEDIUM
mosaic,mild,33.66,6.66,53.1,HIGH
leaf_curl,moderate,30.32,26.87,81.8,CRITICAL
mites,severe,32.13,16.64,41.4,CRITICAL
anthracnose,severe,24.01,19.65,94.3,CRITICAL
anthracnose,mild,25.35,16.89,100.0,MEDIUM
mosaic,moderate,28.75,3.33,57.5,CRITICAL
mosaic,mild,27.24,14.28,66.3,MEDIUM
leaf_curl,mild,26.07,2.95,57.4,HIGH
leaf_curl,mild,28.11,22.03,66.7,HIGH
leaf_curl,moderate,29.09,3.79,78.9,CRITICAL
mites,mild,30.45,10.9,69.2,MEDIUM
mites,severe,28.68,20.71,49.4,CRITICAL
mites,mild,28.63,12.68,70.3,MEDIUM
mites,severe,29.81,4.91,65.9,CRITICAL
leaf_curl,moderate,35.91,170.85,90.5,MEDIUM
leaf_curl,mild,34.57,19.36,91.5,MEDIUM
leaf_curl,moderate,21.05,10.39,59.7,HIGH
mites,moderate,29.77,34.0,33.4,HIGH
anthracnose,mild,25.38,1.2,75.5,MEDIUM
mites,mild,32.71,4.11,34.3,HIGH
mites,moderate,32.27,33.74,78.4,MEDIUM
leaf_curl,severe,27.29,7.71,74.2,CRITICAL
leaf_curl,mild,30.54,2.47,79.6,HIGH
leaf_curl,severe,26.99,14.21,69.7,CRITICAL
leaf_curl,moderate,23.09,100.96,71.6,CRITICAL
mosaic,severe,26.35,5.29,82.2,CRITICAL
leaf_curl,mild,23.69,19.32,85.3,HIGH
anthracnose,moderate,27.83,37.77,76.0,HIGH
mites,severe,26.09,17.29,73.1,MEDIUM
anthracnose,severe,33.24,27.41,68.4,HIGH
mosaic,severe,32.27,17.07,74.7,CRITICAL
anthracnose,mild,32.19,20.69,87.5,MEDIUM
mites,mild,30.97,14.82,59.3,MEDIUM
leaf_curl,severe,25.14,8.31,86.6,CRITICAL
anthracnose,moderate,30.26,0.23,78.6,MEDIUM
anthracnose,mild,24.56,3.19,64.2,LOW
mites,severe,25.1,2.61,49.9,CRITICAL
anthracnose,moderate,30.66,7.91,86.5,HIGH
mites,mild,34.49,6.87,72.6,MEDIUM
anthracnose,moderate,23.92,15.88,78.8,MEDIUM
anthracnose,mild,24.71,9.25,88.1,MEDIUM
leaf_curl,moderate,27.51,40.49,87.1,HIGH
leaf_curl,moderate,26.32,10.13,77.6,CRITICAL
leaf_curl,mild,29.76,4.5,81.6,HIGH
leaf_curl,severe,29.8,10.87,85.7,CRITICAL
leaf_curl,severe,30.64,11.94,90.6,CRITICAL
anthracnose,severe,30.9,54.32,71.6,CRITICAL
mites,moderate,32.62,0.72,73.3,CRITICAL
mites,mild,30.21,2.08,48.0,HIGH
leaf_curl,severe,30.22,21.7,80.0,CRITICAL
mosaic,mild,23.11,1.13,68.4,MEDIUM
mosaic,mild,29.77,16.75,77.5,MEDIUM
mosaic,severe,29.25,8.17,62.3,CRITICAL
mosaic,mild,31.2,10.63,74.4,MEDIUM
anthracnose,severe,25.54,16.29,100.0,CRITICAL
anthracnose,severe,32.11,31.62,67.0,HIGH
mosaic,moderate,32.72,19.31,69.4,HIGH
mites,mild,31.4,7.73,81.3,MEDIUM
mosaic,severe,30.45,110.09,66.6,CRITICAL
anthracnose,moderate,27.47,107.88,75.2,CRITICAL
anthracnose,moderate,32.24,99.0,86.8,HIGH
mosaic,severe,26.33,0.4,64.3,CRITICAL
leaf_curl,mild,28.71,9.97,82.8,HIGH
leaf_curl,mild,25.11,5.05,77.5,HIGH
mites,mild,30.45,7.98,60.4,MEDIUM
mosaic,mild,32.86,3.28,53.8,HIGH
mosaic,moderate,29.0,10.26,57.9,CRITICAL
anthracnose,severe,28.89,84.36,69.3,CRITICAL
mosaic,moderate,29.56,0.14,57.7,CRITICAL
anthracnose,severe,30.29,20.26,88.1,CRITICAL
mites,mild,30.19,2.2,65.0,HIGH
anthracnose,moderate,23.72,44.21,73.0,HIGH
mosaic,severe,34.18,51.52,86.7,HIGH
mites,severe,29.28,5.43,34.1,CRITICAL
anthracnose,moderate,20.87,112.47,82.6,CRITICAL
mosaic,moderate,30.16,3.57,58.7,CRITICAL
anthracnose,moderate,30.11,4.65,84.9,HIGH
mosaic,mild,25.52,32.59,63.4,MEDIUM
mosaic,mild,28.23,7.77,56.4,HIGH
mites,moderate,32.47,26.99,46.2,HIGH
mosaic,moderate,31.13,2.26,83.5,CRITICAL
leaf_curl,mild,30.87,48.42,89.0,MEDIUM
anthracnose,mild,24.12,33.86,80.5,HIGH
anthracnose,moderate,26.59,52.96,76.2,CRITICAL
anthracnose,moderate,24.25,62.96,75.5,CRITICAL
mosaic,severe,24.26,25.0,72.5,HIGH
mosaic,severe,31.63,5.9,60.3,CRITICAL
mites,mild,28.71,0.1,44.9,HIGH
mosaic,moderate,31.51,4.47,64.3,CRITICAL
mites,severe,23.41,3.68,43.7,CRITICAL
anthracnose,moderate,27.72,8.72,63.3,MEDIUM
mites,severe,31.14,4.16,49.9,CRITICAL
leaf_curl,moderate,27.25,35.54,73.9,CRITICAL
leaf_curl,mild,27.72,16.93,75.4,HIGH
mites,severe,28.87,5.59,58.6,CRITICAL
mites,severe,29.06,12.89,46.9,CRITICAL
leaf_curl,moderate,34.84,3.49,70.9,CRITICAL
leaf_curl,moderate,23.06,65.3,91.9,HIGH
leaf_curl,severe,33.16,45.36,82.4,CRITICAL
mites,severe,32.78,16.09,58.1,HIGH
mosaic,mild,34.13,21.82,62.4,MEDIUM
leaf_curl,severe,26.85,13.36,87.7,CRITICAL
mosaic,moderate,29.54,5.03,62.8,CRITICAL
mosaic,severe,27.44,91.45,68.9,CRITICAL
mites,moderate,29.81,3.65,62.8,CRITICAL
leaf_curl,severe,29.87,10.56,60.7,CRITICAL
mosaic,moderate,24.82,17.93,67.5,MEDIUM
anthracnose,mild,32.82,42.79,69.3,LOW
mites,moderate,25.39,2.97,62.3,HIGH
leaf_curl,severe,25.2,27.44,70.5,CRITICAL
leaf_curl,moderate,28.61,33.95,49.8,CRITICAL
mites,severe,31.14,16.29,52.3,CRITICAL
leaf_curl,severe,30.9,19.91,72.2,CRITICAL
anthracnose,moderate,29.76,69.61,79.4,CRITICAL
mosaic,severe,31.43,0.42,70.9,CRITICAL
anthracnose,mild,36.51,13.06,79.1,LOW
leaf_curl,mild,29.37,1.17,83.0,HIGH
mites,moderate,32.18,9.6,66.9,HIGH
mites,severe,29.84,16.38,60.6,HIGH
leaf_curl,moderate,32.67,9.85,67.5,CRITICAL
leaf_curl,moderate,28.78,38.41,66.9,CRITICAL
anthracnose,mild,23.03,9.61,91.4,MEDIUM
mosaic,mild,30.2,14.83,73.4,MEDIUM
leaf_curl,mild,30.72,28.25,52.3,HIGH
mosaic,moderate,31.98,24.65,76.9,HIGH
leaf_curl,severe,29.47,36.38,83.3,CRITICAL
anthracnose,mild,20.25,3.4,76.1,LOW
anthracnose,mild,23.44,0.43,81.4,MEDIUM
mosaic,moderate,24.96,8.7,62.2,HIGH
mites,moderate,33.86,4.39,70.9,CRITICAL
mites,severe,28.98,12.34,65.8,CRITICAL
mosaic,mild,31.93,22.65,48.6,HIGH
mites,severe,28.27,8.44,64.1,CRITICAL
leaf_curl,severe,25.01,13.91,79.4,CRITICAL
anthracnose,severe,25.03,97.43,79.7,CRITICAL
leaf_curl,mild,26.3,173.04,80.9,HIGH
mites,moderate,27.87,10.06,60.7,MEDIUM
mosaic,mild,27.38,10.96,67.4,MEDIUM
mosaic,mild,31.83,3.25,84.5,MEDIUM
mosaic,moderate,24.69,3.95,47.3,HIGH
mites,severe,29.91,23.91,64.4,HIGH
mites,severe,33.88,0.32,66.0,CRITICAL
mites,moderate,30.77,5.25,75.4,HIGH
mosaic,moderate,26.87,8.26,74.6,CRITICAL
mosaic,mild,36.79,6.75,61.1,MEDIUM
mites,mild,30.46,14.07,67.6,MEDIUM
anthracnose,moderate,28.19,16.42,65.7,MEDIUM
mites,severe,29.04,3.8,75.7,CRITICAL
leaf_curl,moderate,23.55,26.33,79.6,CRITICAL
mosaic,moderate,32.77,24.51,60.5,HIGH
anthracnose,mild,24.51,8.51,76.8,MEDIUM
anthracnose,mild,26.61,5.59,85.6,MEDIUM
leaf_curl,mild,24.91,93.11,74.0,HIGH
mosaic,mild,31.62,30.17,62.1,MEDIUM
anthracnose,moderate,32.09,4.23,67.5,LOW
mites,moderate,30.62,6.61,51.1,CRITICAL
leaf_curl,moderate,26.47,63.12,78.7,CRITICAL
leaf_curl,mild,25.07,5.85,82.4,HIGH
anthracnose,moderate,28.16,19.01,77.7,MEDIUM
mosaic,severe,23.85,10.31,72.2,HIGH
anthracnose,mild,22.17,0.75,82.2,MEDIUM
anthracnose,moderate,28.94,3.7,80.3,HIGH
mosaic,mild,26.23,8.5,66.9,HIGH
mosaic,moderate,24.73,1.29,62.0,HIGH
mites,moderate,24.82,0.68,62.9,HIGH
mites,mild,33.22,5.06,63.5,MEDIUM
mites,moderate,33.25,30.06,77.1,MEDIUM
anthracnose,moderate,27.77,131.87,94.0,CRITICAL
anthracnose,moderate,30.19,144.71,87.1,CRITICAL
leaf_curl,severe,26.93,33.06,67.2,CRITICAL
anthracnose,mild,33.83,5.19,84.8,LOW
mosaic,moderate,33.6,64.76,66.6,HIGH
mites,severe,33.29,10.14,35.9,CRITICAL
leaf_curl,severe,28.82,21.15,88.6,CRITICAL
mites,severe,33.7,42.69,78.7,MEDIUM
mites,severe,28.9,2.63,68.6,CRITICAL
mites,mild,26.99,8.12,60.6,MEDIUM
mosaic,severe,32.32,0.21,70.7,CRITICAL
mosaic,mild,29.63,3.89,63.8,HIGH
mites,severe,20.97,5.07,76.6,MEDIUM
mosaic,severe,32.76,11.74,64.4,CRITICAL
leaf_curl,severe,32.5,13.8,65.3,CRITICAL
leaf_curl,mild,29.28,2.2,51.7,HIGH
mites,moderate,25.6,1.47,46.8,CRITICAL
anthracnose,mild,32.19,30.21,71.8,LOW
leaf_curl,severe,31.87,94.2,82.8,CRITICAL
leaf_curl,moderate,27.2,119.13,96.9,HIGH
anthracnose,mild,22.18,18.4,70.3,LOW
anthracnose,moderate,26.39,0.26,74.0,MEDIUM
mosaic,moderate,25.7,3.41,66.2,CRITICAL
mosaic,severe,32.47,1.65,67.2,CRITICAL
mites,severe,35.3,4.83,67.3,CRITICAL
leaf_curl,moderate,30.06,31.46,92.6,CRITICAL
anthracnose,moderate,25.31,51.53,67.7,CRITICAL
leaf_curl,severe,26.53,12.61,82.4,CRITICAL
leaf_curl,moderate,31.43,200.0,77.6,CRITICAL
leaf_curl,mild,22.17,90.75,65.6,HIGH
mosaic,moderate,29.74,11.69,69.9,HIGH
mosaic,moderate,26.27,24.77,98.8,HIGH
mites,moderate,29.07,13.36,61.2,HIGH
mites,severe,25.84,20.28,67.6,MEDIUM
leaf_curl,mild,24.41,102.58,82.4,HIGH
mites,moderate,30.75,9.44,37.0,CRITICAL
anthracnose,severe,25.63,171.39,66.7,CRITICAL
mosaic,severe,24.48,0.6,62.6,CRITICAL
leaf_curl,moderate,31.06,21.65,93.5,CRITICAL
anthracnose,moderate,24.9,32.25,78.9,HIGH
leaf_curl,mild,22.56,39.46,85.6,HIGH
anthracnose,severe,32.53,17.07,63.2,LOW
mites,severe,38.0,1.38,55.4,CRITICAL
mites,moderate,28.82,32.55,58.5,MEDIUM
mites,moderate,31.12,7.61,57.6,HIGH
mites,severe,31.12,0.88,88.8,CRITICAL
leaf_curl,severe,31.68,1.08,73.1,CRITICAL
mosaic,mild,30.94,8.37,66.2,HIGH
mosaic,moderate,31.69,20.43,68.5,HIGH
anthracnose,moderate,25.82,28.99,71.9,HIGH
leaf_curl,moderate,30.22,3.11,68.7,CRITICAL
leaf_curl,moderate,28.79,12.02,86.0,CRITICAL
leaf_curl,mild,26.56,34.29,81.5,HIGH
mosaic,mild,31.25,29.36,71.5,MEDIUM
leaf_curl,severe,28.78,0.42,79.1,CRITICAL
leaf_curl,moderate,26.52,15.5,68.7,CRITICAL
mosaic,mild,35.78,13.15,70.1,MEDIUM
leaf_curl,severe,29.36,68.49,82.0,CRITICAL
leaf_curl,mild,27.94,13.19,84.6,HIGH
mosaic,mild,31.25,3.87,75.7,MEDIUM
anthracnose,severe,36.17,1.74,77.1,LOW
mites,mild,28.48,11.74,77.8,MEDIUM
leaf_curl,moderate,26.42,7.75,69.9,CRITICAL
leaf_curl,severe,27.6,25.82,79.0,CRITICAL
mites,moderate,33.61,10.84,73.1,HIGH
mites,moderate,28.21,15.93,49.6,HIGH
mites,severe,33.13,5.85,42.1,CRITICAL
anthracnose,severe,34.63,15.15,82.1,MEDIUM
leaf_curl,mild,25.87,2.15,74.4,HIGH
leaf_curl,mild,26.63,6.02,90.3,MEDIUM
anthracnose,mild,28.92,8.72,74.4,MEDIUM
leaf_curl,mild,24.82,27.42,67.5,HIGH
leaf_curl,moderate,27.8,9.73,66.6,CRITICAL
leaf_curl,mild,22.66,33.53,83.4,HIGH
leaf_curl,mild,26.79,31.37,84.8,HIGH
mosaic,severe,29.65,6.29,60.8,CRITICAL
mites,mild,26.86,5.8,60.9,MEDIUM
mites,moderate,24.57,4.16,67.1,HIGH
leaf_curl,mild,28.29,10.37,82.9,HIGH
mites,severe,31.79,5.37,61.0,CRITICAL
leaf_curl,moderate,27.7,43.04,77.9,CRITICAL
mosaic,mild,28.47,7.15,56.6,HIGH
anthracnose,mild,28.36,62.98,92.2,HIGH
leaf_curl,mild,22.29,7.07,90.5,MEDIUM
mites,moderate,26.3,11.68,70.5,MEDIUM
leaf_curl,mild,30.57,3.19,61.6,HIGH
anthracnose,mild,30.1,35.36,74.8,MEDIUM
leaf_curl,moderate,18.23,24.39,61.1,HIGH
mites,mild,34.67,37.56,62.3,MEDIUM
leaf_curl,moderate,35.75,16.63,78.7,CRITICAL
leaf_curl,moderate,31.18,13.8,59.8,CRITICAL
anthracnose,mild,27.72,5.73,87.6,MEDIUM
mosaic,severe,27.75,22.41,95.2,CRITICAL
mites,severe,31.57,5.48,65.8,CRITICAL
mites,moderate,33.48,14.29,73.3,HIGH
leaf_curl,moderate,26.77,6.68,74.4,CRITICAL
mosaic,moderate,24.64,16.4,70.4,MEDIUM
leaf_curl,moderate,29.28,7.95,88.9,HIGH
mites,moderate,25.49,2.85,69.8,HIGH
mites,moderate,25.11,14.42,54.4,HIGH
mosaic,moderate,24.71,0.99,66.7,HIGH
leaf_curl,moderate,26.52,10.24,59.0,CRITICAL
anthracnose,moderate,27.18,128.44,77.9,CRITICAL
leaf_curl,severe,31.0,119.19,86.7,CRITICAL
mites,severe,28.46,13.96,69.5,CRITICAL
leaf_curl,mild,28.81,1.55,81.2,HIGH
mosaic,moderate,28.11,0.64,53.5,CRITICAL
mosaic,moderate,32.0,1.99,56.6,CRITICAL
leaf_curl,mild,31.42,7.62,93.9,MEDIUM
leaf_curl,mild,29.0,48.97,50.1,MEDIUM
mosaic,severe,27.89,4.96,35.9,CRITICAL
leaf_curl,mild,32.72,3.28,80.9,HIGH
mites,moderate,29.85,74.42,65.4,MEDIUM
mites,severe,34.21,0.26,56.5,CRITICAL
mites,mild,34.41,0.37,59.4,HIGH
anthracnose,mild,27.65,31.0,78.1,MEDIUM
leaf_curl,mild,30.07,0.5,58.0,HIGH
anthracnose,mild,28.32,12.11,58.9,LOW
mosaic,moderate,26.34,9.85,76.8,CRITICAL
mites,mild,32.32,16.25,66.4,MEDIUM
mosaic,mild,32.11,0.2,60.9,HIGH
anthracnose,moderate,27.51,18.83,80.2,HIGH
mites,moderate,30.34,39.14,55.3,MEDIUM
leaf_curl,mild,24.48,27.97,79.9,HIGH
mosaic,moderate,30.12,27.68,69.5,HIGH
mosaic,moderate,27.42,11.4,58.8,CRITICAL
anthracnose,severe,33.69,66.96,78.4,CRITICAL
mites,mild,29.46,22.56,57.1,MEDIUM
leaf_curl,moderate,26.52,15.95,77.5,CRITICAL
mites,mild,30.37,3.55,57.9,HIGH
anthracnose,moderate,29.93,30.12,72.9,HIGH
anthracnose,severe,22.95,52.88,53.6,CRITICAL
anthracnose,severe,32.21,0.49,90.6,MEDIUM
leaf_curl,moderate,29.55,25.4,69.1,CRITICAL
mites,mild,25.06,16.98,66.5,LOW
mites,moderate,27.2,3.24,79.0,HIGH
leaf_curl,moderate,30.31,5.09,69.1,CRITICAL
leaf_curl,moderate,26.62,21.75,83.1,CRITICAL
anthracnose,moderate,26.51,39.78,64.6,HIGH
leaf_curl,mild,28.55,23.54,54.3,HIGH
mosaic,severe,27.35,16.7,51.2,CRITICAL
mosaic,mild,29.64,2.13,80.9,MEDIUM
anthracnose,moderate,29.64,4.03,81.7,HIGH
anthracnose,mild,20.83,12.21,93.2,MEDIUM
mosaic,mild,29.43,8.49,43.3,HIGH
mites,moderate,31.14,5.38,54.8,CRITICAL
leaf_curl,mild,31.01,24.94,64.4,HIGH
mites,severe,28.61,3.8,70.5,CRITICAL
mites,moderate,27.49,2.5,68.2,HIGH
mites,moderate,30.62,10.68,39.6,CRITICAL
leaf_curl,mild,28.18,32.13,64.2,HIGH
mites,severe,31.69,2.01,64.5,CRITICAL
mites,mild,30.55,0.2,54.5,HIGH
mosaic,severe,33.85,1.57,73.9,CRITICAL
anthracnose,mild,26.15,20.17,68.5,MEDIUM
mosaic,moderate,27.44,0.11,66.9,CRITICAL
mosaic,moderate,27.75,4.17,77.2,CRITICAL
mites,severe,29.57,24.17,53.6,CRITICAL
leaf_curl,severe,24.64,20.57,73.6,CRITICAL
mosaic,moderate,28.15,1.81,69.4,CRITICAL
leaf_curl,moderate,23.69,11.35,79.7,CRITICAL
leaf_curl,severe,20.8,13.79,64.4,CRITICAL
mosaic,mild,23.77,5.94,44.6,MEDIUM
leaf_curl,mild,25.22,25.85,79.5,HIGH
anthracnose,moderate,28.52,30.98,97.1,CRITICAL
anthracnose,severe,33.28,30.86,94.8,HIGH
anthracnose,moderate,27.16,57.8,69.7,CRITICAL
leaf_curl,severe,28.61,33.48,74.9,CRITICAL
anthracnose,severe,27.66,20.05,73.1,CRITICAL
mosaic,moderate,28.67,1.81,69.0,CRITICAL
mites,mild,29.78,11.5,43.7,MEDIUM
leaf_curl,severe,33.69,22.11,90.0,CRITICAL
mites,mild,31.27,18.28,62.2,MEDIUM
mosaic,moderate,29.27,12.12,69.7,HIGH
anthracnose,moderate,27.26,66.26,64.2,CRITICAL
mosaic,mild,29.33,4.45,49.1,HIGH
mites,mild,27.63,8.49,75.4,LOW
leaf_curl,mild,29.08,18.57,75.1,HIGH
anthracnose,moderate,25.77,22.08,61.7,HIGH
mosaic,severe,24.72,19.78,55.8,CRITICAL
mites,mild,31.76,20.77,63.8,MEDIUM
mosaic,mild,31.16,15.1,51.1,HIGH
leaf_curl,severe,26.81,61.1,75.0,CRITICAL
leaf_curl,severe,33.54,11.25,69.8,CRITICAL
anthracnose,mild,23.83,5.1,67.1,LOW
leaf_curl,mild,25.89,44.06,66.9,HIGH
mosaic,severe,31.75,36.95,69.4,CRITICAL
mosaic,severe,31.12,4.9,69.2,CRITICAL
mites,mild,34.14,10.59,53.6,MEDIUM
mosaic,severe,33.12,18.38,57.7,CRITICAL
mites,moderate,31.56,0.89,47.7,CRITICAL
mites,mild,32.1,1.41,68.6,HIGH
mites,mild,30.53,9.03,51.7,MEDIUM
leaf_curl,mild,27.58,25.86,97.4,HIGH
leaf_curl,mild,26.76,58.94,61.9,MEDIUM
leaf_curl,mild,30.13,15.49,61.8,HIGH
anthracnose,severe,28.79,10.54,96.1,CRITICAL
mosaic,moderate,37.51,5.68,42.9,CRITICAL
anthracnose,severe,27.52,5.76,73.8,HIGH
mites,mild,22.95,0.1,66.3,MEDIUM
leaf_curl,severe,30.02,27.51,84.1,CRITICAL
mites,mild,30.97,1.16,64.5,HIGH
anthracnose,mild,31.55,10.37,77.4,MEDIUM
leaf_curl,moderate,30.09,4.11,78.8,CRITICAL
mosaic,mild,23.97,3.6,85.2,MEDIUM
mosaic,mild,26.39,0.52,67.7,HIGH
mosaic,moderate,33.9,16.34,65.5,HIGH
mosaic,moderate,26.19,3.02,71.8,CRITICAL
mites,mild,31.86,2.17,57.9,HIGH
anthracnose,mild,31.02,148.7,79.0,HIGH
anthracnose,mild,27.77,8.52,68.7,MEDIUM
mosaic,severe,29.03,8.94,74.5,CRITICAL
anthracnose,severe,28.47,10.83,84.4,CRITICAL
leaf_curl,moderate,26.95,110.0,96.2,HIGH
anthracnose,severe,29.07,77.57,78.7,CRITICAL
mosaic,moderate,25.55,0.13,49.4,CRITICAL
mites,moderate,28.04,7.44,63.7,HIGH
anthracnose,severe,32.35,85.15,76.9,CRITICAL
leaf_curl,mild,26.64,4.21,73.2,HIGH
anthracnose,moderate,24.48,20.33,84.0,CRITICAL
anthracnose,severe,27.47,14.19,75.1,HIGH
mosaic,mild,24.54,46.95,57.3,LOW
mites,severe,31.5,3.17,84.3,CRITICAL
mosaic,moderate,26.62,3.01,59.2,CRITICAL
anthracnose,mild,25.22,14.55,82.3,MEDIUM
leaf_curl,moderate,27.8,52.23,76.6,CRITICAL
anthracnose,mild,33.55,4.41,74.2,LOW
mosaic,mild,34.11,17.1,65.5,MEDIUM
anthracnose,mild,27.79,27.96,67.9,MEDIUM
mites,severe,27.38,4.31,75.6,CRITICAL
anthracnose,severe,31.92,2.54,74.8,HIGH
mites,mild,31.09,1.28,69.2,HIGH
mosaic,severe,29.0,16.79,67.3,CRITICAL
mites,severe,28.39,3.81,58.6,CRITICAL
mosaic,mild,26.94,28.47,53.8,HIGH
mosaic,moderate,30.39,6.13,60.0,CRITICAL
leaf_curl,moderate,33.5,11.81,70.2,CRITICAL
mites,mild,28.72,22.6,59.3,MEDIUM
leaf_curl,moderate,19.81,41.24,68.1,HIGH
anthracnose,moderate,31.63,20.69,82.2,CRITICAL
anthracnose,mild,24.56,44.02,60.9,MEDIUM
anthracnose,moderate,27.58,31.33,80.7,CRITICAL
anthracnose,severe,31.23,166.85,81.6,CRITICAL
mosaic,severe,29.67,2.66,38.4,CRITICAL
leaf_curl,severe,26.91,20.99,79.1,CRITICAL
mites,mild,33.33,11.28,66.8,MEDIUM
leaf_curl,mild,28.69,7.39,88.1,MEDIUM
